,Good,DBA NAME,OWNERSHIP TYPE,ADDRESS,CITY,ZIP,STATE,BUSINESS PHONE,OWNER NAME,CREATION DT,NAICS,ACTIVITY DESC
25755,y,XY LABS INC,CORP,1405 30TH ST SUITE A,SAN DIEGO,92154-3403,CA,(201) 303-1830,XY LABS INC,09/17/2014,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
26190,y,ZINGSOFT INC,CORP,2105 GARNET AVE,SAN DIEGO,92109-3670,CA,(858) 490-5289,ZINGSOFT INC,10/29/2016,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
26215,y,ZOE IT GROUP INC,SCORP,600 W BROADWAY SUITE 700,SAN DIEGO,92101-3370,CA,(408) 806-4323,ZOE IT GROUP INC,10/18/2022,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
2520,y,ALLIED ELECTRONICS,CORP,7290 NAVAJO RD SUITE 107,SAN DIEGO,92119-1631,CA,(858) 558-2270,ALLIED ELECTRONICS,12/01/1998,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
3701,y,APPSOD INC,CORP,4653 CARMEL MOUNTAIN RD SUITE 308-317,SAN DIEGO,92130-6650,CA,(858) 353-5126,APPSOD INC,05/08/2012,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
4623,y,AVANTIICO INC,CORP,600 B ST SUITE 300,SAN DIEGO,92101-4505,CA,(619) 483-4180,AVANTIICO INC,07/27/2021,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
6538,y,BLUE SAGE SOFTWARE,CORP,12463 RANCHO BERNARDO RD SUITE 152,SAN DIEGO,92128-2143,CA,(973) 366-1900,BLUE SAGE SOFTWARE INC,07/21/2015,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
6954,y,BRANCH+MERGE DEVELOPMENT INC,CORP,877 ISLAND AVE SUITE 217,SAN DIEGO,92101-7145,CA,,BRANCH+MERGE DEVELOPMENT INC,11/08/2016,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
10173,y,CLICKUP,CORP,350 10TH AVE SUITE 500,SAN DIEGO,92101-7497,CA,(760) 707-7027,CLICKUP,06/16/2020,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
10680,y,COMMA,CORP,3900 HARNEY ST,SAN DIEGO,92110-2892,CA,(858) 779-4335,COMMA AI INC,05/22/2019,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
13506,y,DIVO SYSTEMS INC,CORP,8861 VILLA LA JOLLA DR SUITE 13495,LA JOLLA,92037-1918,CA,(858) 546-2379,DIVO SYSTEMS INC,07/16/1992,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
13922,y,DR FRANKENSTEIN'S,CORP,113 W G W ST,SAN DIEGO,92101-6096,CA,(619) 535-8853,LISA LORRAINE BOWEN INC,04/26/2021,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
14688,y,EFFECTECH INC,CORP,17013 ALBERT AVE,SAN DIEGO,92127-2835,CA,(858) 344-0630,EFFECTECH INC,07/11/2007,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
14692,y,EFFECTIVESOFT CORPORATION,CORP,4445 EASTGATE MALL SUITE 200,SAN DIEGO,92121-1979,CA,(800) 288-9659,EFFECTIVESOFT CORPORATION,02/19/2013,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
15425,y,ENTERPRISE SOLUTIONS IMPLEMENTATION SPECIALISTS,CORP,13446 POWAY RD SUITE 224,POWAY,92064-4714,CA,(858) 625-0060,ENTERPRISE SOLUTIONS IMPLEMENTATION SPECIA,05/11/1994,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
20125,y,HAULER HERO,CORP,1450 FRAZEE RD SUITE 410,SAN DIEGO,92108-4341,CA,(347) 656-0111,HAULER HERO INC,04/05/2021,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
21216,y,HUMANITY MEDIA INC,SCORP,1201 W ARBOR DR,SAN DIEGO,92103-1304,CA,(415) 413-3880,HUMANITY MEDIA INC,11/09/2021,541511,CUSTOM COMPUTER PROGRAMMING SERVICES
4658,y,MI EQUIPMENT USA INC,CORP,5752 OBERLIN DR SUITE 218,SAN DIEGO,92121-1747,CA,(408) 667-5552,MI EQUIPMENT USA INC,06/20/2016,8112,ELECTRONIC & PRECISION EQUIPMENT R&M
8053,y,ONE TOUCH LIVING,SCORP,15980 BERNARDO CENTER DR,SAN DIEGO,92127-1828,CA,(858) 798-9130,ONE TOUCH LIVING,07/18/2015,8112,ELECTRONIC & PRECISION EQUIPMENT R&M
10720,y,PREMIER CAR AUDIO INC,SCORP,10615 TIERRASANTA BLVD SUITE J,SAN DIEGO,92124-2615,CA,(858) 289-9799,PREMIER CAR AUDIO INC,10/27/2022,8112,ELECTRONIC & PRECISION EQUIPMENT R&M
20211,y,TAZZ LIGHTING INC,CORP,9555 DISTRIBUTION AVE,SAN DIEGO,92121-2373,CA,(858) 444-8880,TAZZ LIGHTING INC,12/13/2010,8112,ELECTRONIC & PRECISION EQUIPMENT R&M
1204,y,LEIDOS INC,CORP,10740 THORNMINT RD,SAN DIEGO,92127-2700,CA,(571) 526-6000,LEIDOS INC,03/25/2020,541514,IT SERVICES & SUPPORT
1205,y,LEIDOS INC,CORP,1330 30TH ST SUITE ABC,SAN DIEGO,92154,CA,(571) 526-6000,LEIDOS INC,03/25/2020,541514,IT SERVICES & SUPPORT
13433,y,ROBLE OFFICE SOLUTIONS,CORP,2667 CAMINO DEL RIO SOUTH SUITE 301-20,SAN DIEGO,92108-3707,CA,(619) 942-0509,ROBLE ENTERPRISES INC,05/03/2018,541514,IT SERVICES & SUPPORT
15629,y,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,CORP,1455 FRAZEE RD SUITE 10000,SAN DIEGO,92108-4301,CA,(978) 749-2330,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,06/03/2020,541514,IT SERVICES & SUPPORT
15630,y,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,CORP,7580 METROPOLITAN DR,SAN DIEGO,92108-4417,CA,(978) 749-2330,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,06/03/2020,541514,IT SERVICES & SUPPORT
16254,y,SEPHNO SYSTEMS INC,CORP,3534 REYNARD WAY SUITE C,SAN DIEGO,92103-7200,CA,(619) 692-0309,SEPHNO SYSTEMS INC,03/21/2000,541514,IT SERVICES & SUPPORT
17091,y,SITECRAFT INC,SCORP,4227 52ND ST SUITE 318,SAN DIEGO,92115-8147,CA,,SITECRAFT INC,04/24/2017,541514,IT SERVICES & SUPPORT
23316,y,UPDATE GREEN INC,CORP,7887 DUNBROOK RD SUITE C,SAN DIEGO,92126-4382,CA,(425) 891-0384,UPDATE GREEN INC,06/08/2015,541514,IT SERVICES & SUPPORT
23695,y,VASTEK INC,SCORP,1230 COLUMBIA ST SUITE 1180,SAN DIEGO,92101-8520,CA,(858) 939-9145,VASTEK INC,11/14/2018,541514,IT SERVICES & SUPPORT
23902,y,VETERANS EZ INFO INC,SCORP,1901 01ST AVE SUITE 192,SAN DIEGO,92101-2356,CA,(866) 839-1322,VETERANS EZ INFO INC,01/14/2015,541514,IT SERVICES & SUPPORT
24988,y,WESTEK NETWORKS INC,SCORP,148 JASMINE VALLEY WAY,SAN DIEGO,92102-6022,CA,(951) 666-9252,WESTEK NETWORKS INC,06/14/2023,541514,IT SERVICES & SUPPORT
25898,y,YMNET INC,CORP,5868 OWENS AVE SUITE 250,CARLSBAD,92008-5503,CA,(760) 479-2413,YMNET INC,04/02/2003,541514,IT SERVICES & SUPPORT
9134,y,CGI TECHNOLOGIES AND SOLUTIONS INC,CORP,7480 MISSION VALLEY RD SUITE 100,SAN DIEGO,92108-4433,CA,(514) 841-3250,CGI TECHNOLOGIES AND SOLUTIONS INC,12/27/2011,541514,IT SERVICES & SUPPORT
11624,y,CROWN COMPUTERS INC,SCORP,3655 ARGONNE ST,SAN DIEGO,92117-1012,CA,(858) 483-8770,CROWN COMPUTERS INC,08/21/2020,541514,IT SERVICES & SUPPORT
19041,y,GRAMLAN CONSULTING INC,CORP,4849 SARATOGA AVE,SAN DIEGO,92107-2815,CA,(619) 920-4855,GRAMLAN CONSULTING INC,10/10/2023,541514,IT SERVICES & SUPPORT
20647,y,HII MISSION TECHNOLOGIES,CORP,9444 BALBOA AVE SUITE 400,SAN DIEGO,92123-4378,CA,(757) 631-2202,HII MISSION TECHNOLOGIES CORP,04/26/2023,541514,IT SERVICES & SUPPORT
307,y,LABORATORY CORPORATION OF AMERICA,CORP,13112 EVENING CREEK DR,SAN DIEGO,92128-4108,CA,(858) 455-1221,LABORATORY CORPORATION,03/19/1997,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
535,y,LASERLAB INC,CORP,6790 TOP GUN ST SUITE 9,SAN DIEGO,92121-4121,CA,(858) 558-1246,LASERLAB INC,09/15/1988,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
310,y,LABS,CORP,3860 FALLON CIR,SAN DIEGO,92130-1867,CA,(619) 282-1114,LABORATORY & BIOMEDICAL SUPPLIES INC,07/02/1987,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
312,y,LABSIMPLY INC,CORP,11125 FLINTKOTE AVE SUITE A,SAN DIEGO,92121-1213,CA,(630) 853-4324,LABSIMPLY INC,08/03/2022,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
1123,y,LED PARTNERSHIP,CORP,3969 HARNEY ST,SAN DIEGO,92110-2827,CA,,LED PARTNERSHIP,05/08/2008,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
16101,x,SECURE NETWORKS INC  ORGANICSOFT INC,SCORP,4901 MORENA BLVD SUITE 102A,SAN DIEGO,92117-3365,CA,(858) 769-5393,IVTAS,10/31/2017,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
19846,x,T-SOLUTIONS,CORP,1495 PACIFIC HWY SUITE 200,SAN DIEGO,92101-2426,CA,(619) 295-2400,T-SOLUTIONS INC,11/21/2006,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
20788,x,THE COMPUTER ADMIN INC,CORP,7867 CONVOY CT SUITE 302,SAN DIEGO,92111-1214,CA,(619) 713-7422,THE COMPUTER ADMIN INC,02/24/2023,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
20866,x,THE ENGINEERING ENTERPRISE,CORP,2550 05TH AVE SUITE 710,SAN DIEGO,92103-6624,CA,(510) 263-1528,SHALLEY DIBBLE INC,11/17/2022,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
24660,x,WAVE LOCH INC,CORP,8204 LA JOLLA SHORES DR,LA JOLLA,92037-3017,CA,(858) 454-1777,WAVE LOCH INC,05/20/2002,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
24906,x,KAUFMAN GENETICS,SCORP,14019 CAMINITO VISTANA,SAN DIEGO,92130-3720,CA,(734) 777-9422,KAUFMAN GENETICS,07/07/2017,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
1206,x,LEIDOS INC,CORP,10260 CAMPUS POINT DR,SAN DIEGO,92121-1522,CA,(619) 437-2011,LEIDOS INC,10/28/1988,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
2000,x,LOCKHEED MARTIN CORPORATION,CORP,501 W BROADWAY SUITE 260,SAN DIEGO,92101-3561,CA,(619) 557-9130,LOCKHEED MARTIN CORPORATION,08/14/1997,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
5159,x,MINI-SOFT INC,CORP,4855 RUFFNER ST SUITE C,SAN DIEGO,92111-1531,CA,(619) 771-5062,MINI-SOFT INC,07/26/2021,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
11425,x,QUALCOMM ATHEROS COMMUNICATIONS,CORP,5775 MOREHOUSE DR,SAN DIEGO,92121-1714,CA,(858) 587-1121,QUALCOMM ATHEROS INC,01/19/2012,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
11428,x,QUALCOMM GLOBAL SERVICES INC,CORP,5775 MOREHOUSE DR,SAN DIEGO,92121-1714,CA,(858) 587-1121,QUALCOMM GLOBAL SERVICES INC,02/23/1999,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
20264,x,TEAM CODE INC,CORP,4551 PIUTE PL,SAN DIEGO,92117-3830,CA,(858) 277-5308,TEAM CODE INC,02/23/2001,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
22529,x,TRANSRADIANT INSTITUTE,CORP,2489 BAJA CERRO CIR,SAN DIEGO,92109-1542,CA,(858) 273-2240,TRANSRADIANT INSTITUTE,03/01/1999,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
11950,x,CYBERBYTE INCORPORATED,CORP,11302 GRASSY TRAIL DR,SAN DIEGO,92127-2337,CA,(858) 829-7781,INTELESIS TECHNOLOGIES CORPORATION,01/29/1997,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
15841,x,EVENTS.COM INC,CORP,811 PROSPECT ST,LA JOLLA,92037-4207,CA,(858) 257-2300,EVENTS.COM INC,03/27/2020,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
18142,x,GENERAL ATOMICS,CORP,3550 GENERAL ATOMICS CT,SAN DIEGO,92121-1122,CA,(858) 453-3000,GENERAL ATOMIC TECHNOLOGIES CORP,04/01/1983,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
18087,x,GEEKPLUS AMERICA INC,CORP,3570 CARMEL MOUNTAIN RD SUITE 100,SAN DIEGO,92130-6767,CA,(858) 282-8087,GEEKPLUS AMERICA INC,01/09/2023,811219,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M
11426,x,QUALCOMM EUROPE INC,CORP,5775 MOREHOUSE DR,SAN DIEGO,92121-1714,CA,(858) 587-1121,QUALCOMM EUROPE INC,02/05/2002,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
11434,x,QUALCOMM INCORPORATED,CORP,9940 BARNES CANYON RD SUITE AM,SAN DIEGO,92121-2720,CA,(858) 587-1121,QUALCOMM INCORPORATED,12/17/2003,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
11448,x,QUALCOMM INTERNATIONAL INC,CORP,5775 MOREHOUSE DR,SAN DIEGO,92121-1714,CA,(858) 587-1121,QUALCOMM INTERNATIONAL INC,02/05/2002,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
14123,x,S SQUARE SYSTEMS INC,CORP,7345 ARROYO GRANDE RD,SAN DIEGO,92129-2261,CA,(858) 213-7063,S SQUARE SYSTEMS INC,03/09/2002,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
23759,x,VEKTREX ELECTRONIC SYSTEMS INC,CORP,1660 LOGAN AVE SUITE B,SAN DIEGO,92113-1044,CA,(858) 558-8282,VEKTREX ELECTRONIC SYSTEMS INC,03/07/1986,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
23792,x,VENTYX BIOSCIENCES INC,CORP,12790 EL CAMINO REAL SUITE 200,SAN DIEGO,92130-2008,CA,,VENTYX BIOSCIENCES INC,09/15/2023,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
2472,x,ALLEGRO 3D INC,CORP,6868 NANCY RIDGE DR,SAN DIEGO,92121-2217,CA,(858) 699-3298,ALLEGRO 3D INC,04/11/2017,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
6038,x,BEYOND ORDINARY SOFTWARE SOLUTIONS,CORP,16955 VIA DEL CAMPO SUITE 125,SAN DIEGO,92127-7720,CA,(858) 653-0157,ANDERSON CREATIVE ENTERPRISES INC,07/18/2000,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
6269,x,BIZ BLOCK TECHNOLOGIES,CORP,5703 OBERLIN DR SUITE 107,SAN DIEGO,92121-1743,CA,(858) 246-6519,BIZ BLOCK CPA,03/13/2024,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
6454,x,BLOOM SCIENCE INC.,CORP,11107 ROSELLE ST SUITE 209,SAN DIEGO,92121-1206,CA,(858) 829-6662,BLOOM SCIENCE INC,04/12/2022,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
10343,x,COASTAL ANALYTICAL,CORP,6342 FERRIS SQ SUITE 2,SAN DIEGO,92121-3207,CA,(206) 522-5432,INSTITUTE FOR ENVIRONMENTAL HEALTH INC,01/06/2022,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
11759,x,CUBIC CORP HEADQUATERS,CORP,9233 BALBOA AVE,SAN DIEGO,92123-1513,CA,(858) 277-6780,CUBIC CORPORATION,07/01/1974,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
12817,x,"DEFINED BIOSCIENCE, INC",CORP,6404 NANCY RIDGE DR,SAN DIEGO,92121-2248,CA,(858) 232-3277,DEFINED BIOSCIENCE  INC,08/23/2022,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
12818,x,DEFOREST TECH SOLUTIONS,CORP,1270 RIVER VISTA ROW SUITE 125,SAN DIEGO,92111-7432,CA,(619) 770-8098,DEFOREST TECH SOLUTIONS,05/04/2018,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
12878,x,DEL REY SYSTEMS & TECHNOLOGY INC,CORP,9449 BALBOA AVE SUITE 311,SAN DIEGO,92123-4371,CA,(858) 874-8992,DEL REY SYSTEMS & TECHNOLOGY INC,07/19/1999,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
13631,x,DOGBREATH SOFTWARE INC,CORP,6235 LUSK BLVD,SAN DIEGO,92121-2731,CA,(858) 558-3636,DOGBREATH SOFTWARE INC,11/17/2000,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
17769,x,G2 SOFTWARE SYSTEMS INC,SCORP,4025 HANCOCK ST SUITE 105,SAN DIEGO,92110-5167,CA,(760) 632-8026,G2 SOFTWARE SYSTEMS INC,05/19/2010,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
18143,x,GENERAL ATOMICS,CORP,16275 TECHNOLOGY DR,SAN DIEGO,92127-1815,CA,(858) 455-3000,GENERAL ATOMICS,09/27/2022,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
18144,x,GENERAL ATOMICS,CORP,16510 VIA ESPRILLO,SAN DIEGO,92127-1708,CA,(858) 455-3000,GENERAL ATOMICS,09/27/2022,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
18148,x,GENERAL DYNAMICS INFORMATION TECHNOLOGY INC,CORP,1200 PIPER RANCH RD,SAN DIEGO,92154-7714,CA,(619) 881-8989,GENERAL DYNAMICS CORP,09/01/1978,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
22174,x,INTUIT INC,CORP,7535 TORREY SANTA FE RD,SAN DIEGO,92129-5704,CA,(858) 453-4446,INTUIT INC,09/25/1995,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
11432,x,QUALCOMM INCORPORATED,CORP,9380 WAPLES ST,SAN DIEGO,92121,CA,(858) 658-3172,QUALCOMM INCORPORATED,04/22/1998,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
11433,x,QUALCOMM INCORPORATED,CORP,10555 SORRENTO VALLEY RD,SAN DIEGO,92121-1608,CA,(858) 658-3172,QUALCOMM INCORPORATED,04/22/1998,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
11441,x,QUALCOMM INCORPORATED,CORP,10185 MCKELLAR CT,SAN DIEGO,92121-4233,CA,(858) 651-0277,QUALCOMM INCORPORATED,09/11/1999,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
11445,x,QUALCOMM INCORPORATED,CORP,4243 CAMPUS POINT CT,SAN DIEGO,92121-1513,CA,(858) 658-3172,QUALCOMM INCORPORATED,04/22/1998,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
19672,x,SYNOPSYS INC,CORP,3580 CARMEL MOUNTAIN RD,SAN DIEGO,92130-6766,CA,(858) 546-4838,SYNOPSYS INC,03/28/1995,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
25406,x,WINTRISS ENGINEERING CORPORATION,CORP,9010 KENAMAR DR SUITE 101,SAN DIEGO,92121-3437,CA,(858) 550-7300,WINTRISS ENGINEERING CORPORATION,05/03/2018,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
11760,x,CUBIC DEFENSE APPLICATIONS INC,CORP,9233 BALBOA AVE,SAN DIEGO,92123-1513,CA,(858) 277-6780,CUBIC DEFENSE APPLICATIONS INC,07/01/1974,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
21981,x,INTEGRATED MICROWAVE CORP,SCORP,11353 SORRENTO VALLEY RD,SAN DIEGO,92121-1303,CA,(858) 259-2600,INTEGRATED MICROWAVE CORP,06/25/1982,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
1342,x,ACTIVX BIOSCIENCES INC,CORP,11025 N TORREY PINES RD SUITE 120,LA JOLLA,92037-1030,CA,(858) 558-5558,ACTIVX BIOSCIENCES INC,02/27/2001,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
9919,x,CIVIC KNOWLEDGE INC,SCORP,1370 WILBUR AVE,SAN DIEGO,92109-2135,CA,(619) 363-2607,CIVIC KNOWLEDGE INC,11/22/2016,54199,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES"
20991,x,HOOP5 NETWORKS,CORP,2048 ALDERGROVE AVE SUITE F,ESCONDIDO,92029-1903,CA,(619) 259-5549,HOOP5 NETWORKS,10/26/2023,541514,IT SERVICES & SUPPORT
13489,x,ROCKSTAR CLINICAL DATA CONSULTING INC,SCORP,7472 NORTHRUP DR,SAN DIEGO,92126-5113,CA,(619) 733-0033,ROCKSTAR CLINICAL DATA CONSULTING INC,02/20/2024,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
25338,x,WIND RIVER GROUP INC,CORP,7963 VILLAS,SAN DIEGO,92127-2511,CA,,WIND RIVER GROUP INC,05/16/2011,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
6554,x,BLUE TECH,CORP,4025 HANCOCK ST SUITE 100,SAN DIEGO,92110-5167,CA,(858) 456-1440,BLUE TECH INC,11/28/1984,5416,"MANAGEMENT, SCI & TECH CONSULTING SERVICES"
15628,x,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,CORP,4065 HANCOCK ST,SAN DIEGO,92110-5151,CA,(317) 596-3260,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,07/26/2017,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
17011,x,SIMPLETECH IT SOLUTIONS INC,SCORP,4550 KEARNY VILLA RD SUITE 208,SAN DIEGO,92123-1565,CA,(408) 780-0900,SIMPLETECH IT SOLUTIONS INC,12/12/2023,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
17645,x,SOLIMAR SYSTEMS INC,CORP,1515 02ND AVE,SAN DIEGO,92101-3005,CA,(619) 849-2800,SOLIMAR SYSTEMS INC,07/24/1991,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
8989,x,CELL BIOLABS INC,CORP,7758 ARJONS DR,SAN DIEGO,92126-4391,CA,(858) 625-0769,JAY LENG,08/13/2004,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
13323,x,DIEBOLD NIXDORF INCORPORATED,CORP,7370 OPPORTUNITY RD SUITE M,SAN DIEGO,92111-2245,CA,(858) 565-7643,DIEBOLD NIXDORF INCORPORATED,11/15/1994,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
21789,x,INFOTECH SYSTEMS MANAGEMENT INC.,CORP,1748 SAN DIEGO AVE,SAN DIEGO,92110-1906,CA,(619) 299-1130,INFOTECH SYSTEMS MANAGEMENT INC,08/18/1992,5419,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE
19419,x,SURFACE OPTICS CORPORATION,CORP,11555 RANCHO BERNARDO RD,SAN DIEGO,92127-1441,CA,(858) 578-8910,SURFACE OPTICS CORPORATION,03/24/1981,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
21850,x,INNOLINK,CORP,5214 SEAGROVE PL,SAN DIEGO,92130-3231,CA,(858) 587-9196,IQNET INC,03/05/1999,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
25478,x,KING TECHNOLOGIES INC,CORP,3760 SPORTS ARENA BLVD,SAN DIEGO,92110-5156,CA,,KING TECHNOLOGIES INC,12/22/2006,541,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES"
23566,x,VALHALLA SCIENTIFIC INC,CORP,12127 KIRKHAM RD,POWAY,92064-6870,CA,(858) 457-5576,VALHALLA SCIENTIFIC INC,07/01/1974,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
25921,x,KYOCERA INTERNATIONAL INC,CORP,8611 BALBOA AVE,SAN DIEGO,92123-1501,CA,(858) 576-2600,KYOCERA INTERNATIONAL INC,07/01/1974,3344,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG
